NOME,SIGLA,LOGRADOURO,BAIRRO,CIDADE,UF,CEP
"34º Pelotão de Polícia do Exército","34º Pel PE","ESTRADA DO AEROPORTO, 2801","AEROPORTO","Tefé","AM","69470000"
"35º Batalhão de Infantaria","35º BI","Av. Eduardo Froes da Mota, 7770","SUBAÉ","Feira de Santana","BA","44063220"
"35º Pelotão de Polícia do Exército","35º Pel PE","RUA MARIANO PROCÓPIO, 970","MARIANO PROCÓPIO","Juiz de Fora","MG","36035780"
"36º BATALHÃO DE INFANTARIA MECANIZADO","36º BI Mec","AV ASP MEGA 731","JARAGUÁ","Uberlândia","MG","38413018"
"36º Pelotão de Polícia do Exército Pára-Quedista","36º Pel PE Pqdt","RUA GEN BENEDITO DA SILVEIRA, S/N","VILA MILITAR","Rio de Janeiro","RJ","21615110"
"37º Batalhão de Infantaria Leve","37º BIL","RUA MAJOR MATOS GUEDES, 675","RIBEIRO","Lins","SP","16400000"
"38º Batalhão de Infantaria","38º BI","PRAIA DE PIRATININGA","PRAINHA","Vila Velha","ES","29100901"
"4º Batalhão de Aviação do Exército","4º B Av Ex","Estrada do Paredão, s nr Vila Militar Rio Negro","Colônia Oliveira Machado","Manaus","AM","69071970"
"4º Batalhão de Comunicações","4º B Com","BR 101 - SUL, KM 73","Tejipio","Recife","PE","51240340"
"4º Batalhão de Engenharia de Combate","4º BE Cmb","PCA DUQUE DE CAXIAS S/N","VARGINHA","Itajubá","MG","37501334"
"4º Batalhão de Engenharia de Construção","4º BEC","RODOVIA BR 020/242 - KM 6","BOA VISTA","Barreiras","BA","47800000"
"4º Batalhão de Infantaria Leve","4º BIL","AV DOS AUTONOMISTAS S/N","QUITAUNA","Osasco","SP","06194050"
"4º Batalhão de Polícia  do Exército","4º BPE","Rodovia 232, s/n KM 06","Curado","Recife","PE","50950000"
"4º Batalhão Logístico","4º B Log","RUA CAP VASCO DA CUNHA S/N","BOI MORTO","Santa Maria","RS","97030110"
"4º Centro de Geoinformação","4º CGEO","AV MAL BITENCOURT, 97","COMPENSA","Manaus","AM","69029000"
"4º Centro de Telemática de Área","4º CTA","AV DOS EXPEDICIONÁRIOS, 4715","PONTA NEGRA","Manaus","AM","69037000"
"4ª Circunscrição de Serviço Militar","4ª CSM","RUA DA INDEPÊNDENCIA, 632 - BLOCO 1","CAMBUCI","São Paulo","SP","01524000"
"4ª Companhia de Comunicações Leve","4ª Cia Com L",,,"Belo Horizonte","MG",
"4ª Companhia de Engenharia de Combate Mecanizada","4ª Cia E Cmb Mec","RUA TEN ARI RODRIGUES, 252","CENTRO","Jardim","MS","79240000"
"4ª Companhia de Inteligência","4ª Cia Intlg","AV. DOS EXPEDICIONÁRIOS, 4715","PONTA NEGRA","Manaus","AM","69037000"
"4ª Companhia de Polícia do Exército","4ª Cia PE","RUA JUIZ DE FORA, 990","BARRO PRETO","Belo Horizonte","MG","30180061"
"4ª Delegacia do Serviço Militar da 10ª C S M","4ª Del SM / 10ª CSM","RUA ANTÔNIO MANOEL, 789","CENTRO","Santo Ângelo","RS","98800000"
"4ª Delegacia do Serviço Militar da 11ª C S M","4ª Del SM / 11ª CSM","RUA VEREADOR DAVID DA COSTA, 14-B","FONTE GRANDE","Contagem","MG","32040650"
"4ª Delegacia do Serviço Militar da 12ª C S M","4ª Del SM / 12ª CSM","RUA DR THEOBALDO TOLENDAL, 55 ""A""","CENTRO","Barbacena","MG","36200000"
"4ª Delegacia do Serviço Militar da 13ª C S M","4ª Del SM / 13ª CSM","RUA IRMÃ EUGENIA LUZ PINTO, 99","CENTRO","São João Del Rei","MG","36300000"
"4ª Delegacia do Serviço Militar da 14ª C S M","4ª Del SM / 14ª CSM","RUA JOSÉ DE ALENCAR, 135","CENTRO","Campinas","SP","13013140"
"4ª Delegacia do Serviço Militar da 16ª C S M","4ª Del SM / 16ª CSM","RUA JOSÉ DE MIRANDA RAMOS, 455","CENTRO","Xanxerê","SC","89820000"
"4ª Delegacia do Serviço Militar da 17ª C S M","4ª Del SM / 17ª CSM",,,"Santo Amaro","BA",
"4ª Delegacia do Serviço Militar da 18ª C S M","4ª Del SM / 18ª CSM","TRAVESSA TEIXEIRA DE FREITAS, 18","CENTRO","Brumado","BA","46100000"
"4ª Delegacia do Serviço Militar da 19ª CSM","4ª Del SM / 19ª CSM",,,"Nossa Senhora da Glória","SE",
"4ª Delegacia do Serviço Militar da 2ª C S M","4ª Del SM / 2ª CSM","PRAÇA GETÚLIO VARGAS, 71","FUNDOS","Nova Friburgo","RJ","28600000"
"4ª Delegacia do Serviço Militar da 20ª C S M","4ª Del SM / 20ª CSM","AV. PARAÍBA, 31","NOVA OLINDA","Atalaia","AL","57690000"
"4ª Delegacia do Serviço Militar da 21ª C S M","4ª Del SM / 21ª CSM","RUA JOÃO SEVERIANO, 104 - 1º ANDAR","CENTRO","São Lourenço da Mata","PE","54730060"
"4ª Delegacia do Serviço Militar da 23ª C S M","4ª Del SM / 23ª CSM","PRAÇA NOSSA SENHORA DA LUZ, 87","CENTRO","Guarabira","PB","58200000"
